feature,importance
artist_skip_rate,0.28805887704184135
year,0.21062621981715554
track_skip_rate,0.14608916741736352
prev_track_skipped,0.09972540211740309
skip_streak,0.08723990207115172
hour_cos,0.027660819648482708
days_since_artist,0.019114954661360064
artist_total_plays,0.017991812306889166
days_since_track,0.01500840068328349
month,0.014735564385015021
track_total_plays,0.010530778131818096
is_work_hours,0.010130420397074232
track_popularity_pct,0.009624439031825338
hour_of_day,0.009278987897278915
artist_popularity_pct,0.008357242373963727
hour_sin,0.004961372828337646
shuffle,0.0035687835487160802
day_sin,0.0031531696550133157
day_of_week,0.0031360612279356776
day_cos,0.0021497929805901254
same_artist_as_prev,0.001959178313531174
is_late_night,0.0019261721806453408
same_album_as_prev,0.0011405580244350229
is_top_track,0.0011138798679756813
is_weekend,0.0007369042827639969
is_top_artist,0.0006637426922751713
is_repeat_1h,0.0005810789456591355
incognito_mode,0.0004502574564833146
offline,0.0002860600137323665
